type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plot 3d, Stance, Average","s",0.000,1,1,"N/cm²",18,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.073,0.132,0.114,0.049,0.006,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.006,0.206,1.058,1.752,1.639,1.005,0.301,0.026,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.001,0.090,1.020,3.212,4.944,5.086,3.848,1.895,0.393,0.016,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.024,0.439,2.344,5.549,8.672,9.908,8.407,5.065,1.741,0.151,0.001,0.000,0.000,0.000
,0.000,0.000,0.000,0.030,0.313,1.327,3.572,7.074,11.311,14.132,13.217,8.854,3.865,0.648,0.009,0.000,0.000,0.000
,0.000,0.000,0.030,0.407,1.418,2.696,4.589,7.750,12.088,15.603,15.673,11.587,5.850,1.471,0.048,0.000,0.000,0.000
,0.000,0.011,0.348,1.596,2.975,4.050,5.331,7.717,11.263,14.740,15.642,12.651,7.243,2.394,0.171,0.000,0.000,0.000
,0.000,0.068,1.101,3.109,4.351,5.153,6.184,7.781,10.212,13.092,14.366,12.634,8.096,3.280,0.390,0.002,0.000,0.000
,0.001,0.222,1.940,4.134,5.199,6.017,7.347,8.740,10.391,12.162,13.191,12.194,8.492,3.898,0.627,0.005,0.000,0.000
,0.013,0.547,2.673,4.585,5.538,6.621,8.362,9.853,11.061,11.785,12.359,11.634,8.464,4.129,0.797,0.010,0.000,0.000
,0.059,1.145,3.661,5.336,6.356,7.614,9.347,10.921,11.647,11.983,11.929,11.205,8.374,4.200,0.938,0.016,0.000,0.000
,0.134,1.810,4.693,6.621,7.893,9.147,10.673,12.143,12.533,12.621,12.097,11.085,8.386,4.346,1.061,0.022,0.000,0.000
,0.215,2.311,5.414,7.672,9.067,10.084,11.434,12.281,12.651,12.444,11.833,10.610,7.965,4.455,1.153,0.027,0.000,0.000
,0.270,2.629,5.854,8.274,9.654,10.319,11.510,11.774,12.121,11.802,11.068,9.823,7.260,4.241,1.104,0.028,0.000,0.000
,0.281,2.695,5.960,8.410,9.815,10.067,10.537,10.656,10.666,10.292,9.624,8.500,6.408,3.531,0.877,0.026,0.000,0.000
,0.229,2.423,5.672,8.051,9.392,9.360,8.989,9.027,8.875,8.265,7.792,6.800,5.280,2.712,0.595,0.018,0.000,0.000
,0.123,1.776,4.859,6.930,8.003,7.877,7.178,6.915,6.585,5.866,5.414,4.756,3.727,1.928,0.336,0.008,0.000,0.000
,0.032,0.929,3.510,5.530,6.417,6.419,5.925,5.520,4.863,4.155,3.689,3.366,2.750,1.448,0.210,0.002,0.000,0.000
,0.003,0.313,2.183,4.686,5.970,6.252,5.975,5.306,4.446,3.667,3.189,3.021,2.534,1.198,0.112,0.001,0.000,0.000
,0.000,0.070,1.213,3.945,5.803,6.346,6.218,5.340,4.380,3.656,3.381,3.346,2.583,0.970,0.063,0.000,0.000,0.000
,0.000,0.008,0.509,2.810,5.246,6.275,6.456,5.829,4.870,4.160,3.935,3.874,2.715,0.780,0.033,0.000,0.000,0.000
,0.000,0.001,0.142,1.547,4.188,5.977,6.668,6.652,5.872,4.906,4.473,4.380,3.064,0.872,0.033,0.000,0.000,0.000
,0.000,0.000,0.024,0.613,2.865,5.463,7.008,7.541,6.936,5.613,5.089,5.327,4.312,1.652,0.147,0.001,0.000,0.000
,0.000,0.000,0.002,0.153,1.666,4.870,7.493,8.534,8.033,6.414,6.210,7.219,6.704,3.388,0.624,0.014,0.000,0.000
,0.000,0.000,0.000,0.026,0.982,4.440,7.941,9.552,9.149,7.060,7.197,9.309,9.543,5.809,1.679,0.106,0.000,0.000
,0.000,0.000,0.000,0.010,0.750,4.285,8.363,10.499,10.265,7.383,7.427,10.647,11.997,8.606,3.494,0.503,0.005,0.000
,0.000,0.000,0.000,0.006,0.657,4.246,8.611,11.207,11.335,7.521,6.876,10.846,13.433,11.071,5.729,1.403,0.051,0.000
,0.000,0.000,0.000,0.004,0.578,4.090,8.601,11.645,12.134,7.588,5.907,10.089,13.799,12.702,7.946,2.774,0.250,0.000
