type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Heelleft","s",0.000,1,1,"N/cm²",14,30,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.001,0.023,0.035,0.269,0.474,0.345,0.157,0.022,0.000,0.000
,0.000,0.000,0.020,0.148,0.184,0.680,1.251,1.695,1.909,1.769,1.231,0.304,0.007,0.000
,0.000,0.037,0.457,1.322,1.607,2.239,2.474,2.828,2.791,2.673,2.141,1.344,0.192,0.000
,0.000,0.372,1.855,3.095,3.198,3.521,3.688,3.674,3.496,3.188,2.635,1.843,0.193,0.000
,0.012,0.954,3.191,4.378,4.192,3.875,4.109,3.999,3.935,3.465,3.023,1.942,0.108,0.000
,0.226,1.715,3.748,4.633,4.379,3.849,3.743,3.730,3.489,3.180,2.820,1.376,0.069,0.000
,0.374,2.174,3.939,4.142,3.710,3.317,3.027,2.993,3.188,2.911,2.561,1.156,0.096,0.000
,0.372,1.777,3.057,3.361,3.078,2.613,2.184,2.198,2.416,2.423,2.177,0.930,0.113,0.000
,0.282,1.634,3.053,3.675,3.565,2.848,2.127,1.865,1.928,2.176,1.697,0.337,0.005,0.000
,0.107,1.649,3.502,4.679,4.727,3.858,2.726,2.453,2.242,2.552,2.263,0.795,0.045,0.000
,0.094,1.755,3.778,4.960,5.448,4.822,3.288,2.695,2.812,3.029,2.320,0.873,0.035,0.000
,0.138,1.598,3.719,5.099,5.911,5.436,3.880,3.198,3.413,3.606,2.481,0.635,0.003,0.000
,0.025,0.856,3.672,5.639,6.727,6.354,4.775,3.883,4.027,3.681,1.674,0.261,0.000,0.000
,0.001,0.746,3.894,6.219,7.544,7.474,6.075,4.945,4.762,3.845,1.556,0.194,0.000,0.000
,0.000,0.626,3.808,7.143,8.620,8.551,6.835,6.360,6.504,5.844,2.715,0.431,0.007,0.000
,0.001,0.775,4.272,8.016,9.635,9.560,7.533,7.339,9.044,8.829,4.608,1.163,0.054,0.000
,0.001,0.924,4.624,8.799,11.306,10.887,7.969,7.549,10.816,11.529,7.321,2.191,0.131,0.000
,0.017,1.380,5.452,9.658,12.418,11.815,7.751,7.445,11.649,13.619,9.816,3.712,0.514,0.001
,0.058,1.798,6.498,10.599,13.185,12.193,7.304,7.206,12.122,15.292,11.946,5.438,1.106,0.027
,0.097,2.160,7.108,11.655,14.729,12.160,6.698,6.931,12.447,15.718,13.415,6.860,1.857,0.106
,0.130,2.414,7.368,12.575,16.732,12.383,5.918,6.288,12.059,15.569,14.217,8.314,2.578,0.176
,0.103,1.998,6.838,12.612,16.835,14.394,6.725,6.766,13.147,16.339,14.158,9.196,3.371,0.199
,0.044,1.162,5.889,12.260,16.394,15.504,10.306,9.406,14.283,16.336,13.391,8.725,3.460,0.169
,0.001,0.479,3.839,9.815,16.056,14.700,13.293,12.112,14.332,15.089,12.705,7.878,3.032,0.130
,0.000,0.124,1.750,6.326,11.757,13.673,12.052,11.493,14.042,14.042,10.621,6.069,1.751,0.099
,0.000,0.013,0.503,2.610,6.333,9.720,10.740,10.180,10.802,9.759,7.064,3.811,0.755,0.019
,0.000,0.000,0.032,0.534,2.328,4.513,5.942,6.128,5.802,4.878,3.258,1.292,0.162,0.000
,0.000,0.000,0.000,0.017,0.372,1.114,2.016,2.365,2.383,1.307,0.566,0.107,0.008,0.000
,0.000,0.000,0.000,0.000,0.007,0.075,0.196,0.361,0.388,0.049,0.005,0.000,0.000,0.000

