type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Midfootleft","s",0.000,1,1,"N/cm²",17,32,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.284,0.278,0.147,0.010,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.005,0.198,0.603,1.366,1.656,1.251,0.400,0.035,0.000,0.000
,0.000,0.000,0.000,0.000,0.001,0.017,0.374,0.761,1.191,2.317,3.201,3.304,2.973,1.567,0.213,0.000,0.000
,0.000,0.000,0.000,0.028,0.171,0.559,1.089,2.023,2.860,4.250,4.896,4.993,4.657,2.682,0.669,0.023,0.000
,0.000,0.001,0.080,0.841,1.730,1.873,2.256,3.080,4.084,5.015,5.594,6.150,5.567,3.559,1.328,0.158,0.001
,0.000,0.036,0.803,2.627,3.560,3.283,3.536,4.367,5.108,5.621,5.935,6.094,5.222,3.944,1.938,0.362,0.000
,0.000,0.352,1.924,4.227,5.374,5.098,5.065,5.866,6.577,6.868,6.595,6.142,5.269,3.813,1.810,0.309,0.000
,0.041,0.990,3.214,5.366,6.888,6.684,6.462,6.817,7.232,7.437,7.197,6.608,5.481,3.786,1.561,0.198,0.000
,0.235,1.763,4.400,6.039,7.320,7.550,7.874,7.635,7.455,7.644,7.138,6.517,5.287,3.722,1.571,0.147,0.000
,0.246,2.149,4.839,6.406,7.586,8.112,8.303,8.256,8.135,7.981,7.466,6.791,5.241,3.487,1.369,0.093,0.000
,0.341,2.653,5.783,7.260,8.177,7.778,7.184,7.645,8.027,7.918,7.543,6.810,5.195,3.053,0.910,0.025,0.000
,0.418,2.583,5.452,7.159,7.759,7.256,6.352,5.936,6.054,6.169,6.448,6.256,4.797,2.719,0.706,0.005,0.000
,0.208,1.662,4.226,5.915,6.353,5.748,4.951,4.684,4.324,4.581,4.826,4.437,3.806,2.060,0.382,0.000,0.000
,0.021,1.081,3.922,5.832,6.455,5.770,4.868,3.935,3.629,3.522,3.598,3.011,2.242,1.002,0.151,0.000,0.000
,0.011,0.763,3.941,6.635,7.027,6.366,5.199,3.948,3.349,3.588,3.055,2.443,1.535,0.502,0.029,0.000,0.000
,0.015,0.696,3.295,6.707,7.766,7.014,5.562,3.835,3.249,3.269,3.137,2.530,1.416,0.384,0.006,0.000,0.000
,0.003,0.360,2.477,5.819,7.926,7.599,6.004,4.196,3.687,3.648,3.431,2.495,0.998,0.160,0.000,0.000,0.000
,0.000,0.119,1.485,4.386,7.468,7.677,6.120,4.769,3.913,3.757,3.621,2.525,0.927,0.082,0.000,0.000,0.000
,0.000,0.024,0.751,3.214,6.508,7.172,6.212,4.883,4.252,4.034,3.333,2.117,1.147,0.177,0.000,0.000,0.000
,0.000,0.009,0.639,2.685,6.118,7.220,6.346,4.652,3.831,3.900,3.858,2.523,0.963,0.082,0.000,0.000,0.000
,0.000,0.009,0.623,2.724,5.707,7.415,6.441,4.785,4.251,4.868,5.077,3.468,1.181,0.082,0.000,0.000,0.000
,0.000,0.006,0.492,2.797,5.549,7.269,6.736,5.143,4.655,6.277,6.728,4.857,1.970,0.162,0.000,0.000,0.000
,0.000,0.000,0.496,2.791,5.493,6.913,6.941,5.528,5.149,7.032,8.023,6.101,2.934,0.470,0.004,0.000,0.000
,0.000,0.000,0.436,2.692,5.420,7.223,7.158,5.202,4.940,7.249,8.613,7.137,3.927,0.990,0.036,0.000,0.000
,0.000,0.000,0.417,2.451,5.027,7.209,7.097,4.500,4.155,7.054,8.942,7.781,4.553,1.285,0.055,0.000,0.000
,0.000,0.000,0.252,1.797,4.344,6.576,6.334,3.781,3.383,6.048,8.269,7.755,4.892,1.466,0.128,0.000,0.000
,0.000,0.000,0.047,0.819,3.234,5.120,5.076,2.719,2.926,5.658,7.047,6.868,4.376,1.444,0.141,0.000,0.000
,0.000,0.000,0.004,0.377,2.111,3.890,3.667,2.041,2.077,4.716,6.123,5.545,3.551,0.960,0.041,0.000,0.000
,0.000,0.000,0.000,0.045,0.774,2.443,2.301,1.228,1.695,3.891,4.786,4.205,2.282,0.566,0.002,0.000,0.000
,0.000,0.000,0.000,0.000,0.103,0.565,0.474,0.235,1.007,2.762,3.405,2.528,1.084,0.138,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.001,0.490,1.568,1.860,0.809,0.154,0.007,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.226,0.374,0.156,0.000,0.000,0.000,0.000,0.000

