,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
0,External trigger,START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,R,19.192,,0.992,,,,,1790,,,16.586,,,1790,,,,,,,0.992,66.9,,,0.076,7.7,0.596,60.1,0.32,32.2,,,0.305,,,66.9,19192
2,2,L,,,1.084,0.687,,,,60,,,17.273,,,1851,1850,,0.49,31.9,0.594,38.7,1.084,70.7,,,0.158,14.6,0.672,62,0.254,23.4,0.305,19.9,0.289,18.8,,70.7,19879
3,3,R,,,1.028,0.795,,,80.97,64,0.84,,18.068,,6.827,1914,124,1.482,0.45,30.6,0.578,39.3,1.028,69.9,0.49,33.1,0.171,16.6,0.605,58.9,0.252,24.5,0.289,19.6,0.289,19.6,,69.9,20674
4,4,L,,,1.039,0.739,,,78.23,58,0.8,-0.01,18.807,,,1973,122,1.534,0.443,31,0.596,41.7,1.039,72.7,0.45,29.3,0.154,14.8,0.663,63.8,0.222,21.4,0.289,20.2,0.307,21.5,,72.7,21413
5,5,R,,,0.975,0.732,,,81.58,60,0.8,0,19.539,,3.609,2033,118,1.471,0.391,26.7,0.584,39.9,0.975,66.6,0.443,30.1,0.182,18.7,0.586,60.1,0.207,21.2,0.307,21,0.277,18.9,,66.6,22145
6,6,L,,,1.071,0.698,,,83.92,60,0.84,0.01,20.237,,,2093,120,1.43,0.489,33.6,0.582,40,1.071,73.6,0.391,27.3,0.195,18.2,0.632,59,0.244,22.8,0.277,19,0.305,21,,73.6,22843
7,7,R,,,1.023,0.766,,,81.97,61,0.83,0,21.003,,6.723,2155,121,1.464,0.384,26.4,0.639,43.9,1.023,70.3,0.489,33.4,0.168,16.4,0.62,60.6,0.235,23,0.305,21,0.334,23,,70.3,23609
8,8,L,,,1.063,0.689,,,82.47,56,0.8,-0.01,21.692,,,2211,117,1.455,0.432,28.5,0.631,41.7,1.063,70.2,0.384,26.4,0.144,13.5,0.704,66.2,0.215,20.3,0.334,22.1,0.297,19.6,,70.2,24298
9,9,R,,,1.046,0.766,,,82.47,66,0.84,0.01,22.458,,2.681,2277,122,1.455,0.451,30.9,0.595,40.7,1.046,71.6,0.432,29.7,0.164,15.7,0.644,61.6,0.238,22.7,0.297,20.3,0.298,20.4,,71.6,25064
10,10,L,,,1.008,0.748,,,79.26,63,0.85,0,23.206,,,2339,129,1.514,0.415,28.7,0.593,41.1,1.008,69.8,0.451,29.8,0.19,18.8,0.613,60.8,0.205,20.4,0.298,20.6,0.295,20.4,,69.8,25812
11,11,R,,,1.044,0.713,,,82.14,57,0.82,-0.01,23.919,,-3.671,2397,120,1.461,0.436,30.4,0.608,42.4,1.044,72.9,0.415,28.4,0.166,15.9,0.618,59.2,0.26,24.9,0.295,20.6,0.313,21.8,,72.9,26525
12,12,L,,,1.038,0.731,,,83.1,63,0.83,0,24.65,,,2459,120,1.444,0.389,27.2,0.649,45.4,1.038,72.6,0.436,30.2,0.216,20.8,0.603,58.1,0.219,21.1,0.313,21.9,0.336,23.5,,72.6,27256
13,13,R,,,1.073,0.702,,,83.74,52,0.8,-0.01,25.352,,-1.975,2511,115,1.433,0.392,26.1,0.681,45.3,1.073,71.3,0.389,27.1,0.163,15.2,0.664,61.9,0.246,22.9,0.336,22.3,0.345,22.9,,71.3,27958
14,14,L,,,1.107,0.728,,,83.92,61,0.79,0,26.08,,,2573,113,1.43,0.431,27.5,0.676,43.1,1.107,70.5,0.392,27.4,0.172,15.5,0.733,66.2,0.202,18.3,0.345,22,0.331,21.1,,70.5,28686
15,15,R,,,1.095,0.776,,,79.79,61,0.81,0.01,26.856,,2.078,2634,122,1.504,0.463,31,0.632,42.3,1.095,73.2,0.431,28.7,0.198,18.1,0.604,55.2,0.293,26.7,0.331,22.1,0.301,20.1,,73.2,29462
16,16,L,,,1.029,0.794,,,76.43,66,0.81,0,27.65,,,2700,127,1.57,0.4,28.2,0.629,44.3,1.029,72.5,0.463,29.5,0.224,21.8,0.591,57.4,0.214,20.8,0.301,21.2,0.328,23.1,,72.5,30256
17,17,R,,,1.032,0.701,,,80.27,54,0.8,0,28.351,,-3.353,2754,120,1.495,0.391,27.3,0.641,44.7,1.032,72,0.4,26.8,0.183,17.7,0.572,55.4,0.277,26.9,0.328,22.9,0.313,21.8,,72,30957
18,18,L,,,0.991,0.719,,,84.51,68,0.86,0.02,29.07,,,2822,122,1.42,0.401,28.5,0.59,42,0.991,70.5,0.391,27.5,0.225,22.7,0.566,57.1,0.2,20.2,0.313,22.3,0.277,19.7,,70.5,31676
19,19,R,,,1.024,0.714,,,83.74,58,0.88,0.01,29.784,,-3.734,2880,126,1.433,0.415,28.9,0.609,42.5,1.024,71.4,0.401,28,0.163,15.9,0.598,58.4,0.263,25.7,0.277,19.3,0.332,23.2,,71.4,32390
20,20,L,,,1.091,0.692,,,85.35,61,0.85,-0.01,30.476,,,2942,119,1.406,0.41,27,0.681,44.8,1.091,71.8,0.415,29.5,0.258,23.6,0.602,55.2,0.231,21.2,0.332,21.9,0.349,23,,71.8,33082
21,21,R,,,1.077,0.742,,,83.68,56,0.82,-0.01,31.218,,3.712,2998,117,1.434,0.428,28.7,0.649,43.5,1.077,72.2,0.41,28.6,0.167,15.5,0.649,60.3,0.261,24.2,0.349,23.4,0.3,20.1,,72.2,33824
22,22,L,,,1.018,0.777,,,79,71,0.84,0.01,31.995,,,3069,127,1.519,0.414,28.4,0.604,41.4,1.018,69.8,0.428,28.2,0.238,23.4,0.597,58.6,0.183,18,0.3,20.6,0.304,20.8,,69.8,34601
23,23,R,,,1.053,0.714,,,80.48,56,0.85,0.01,32.709,,-4.617,3125,127,1.491,0.441,29.2,0.612,40.5,1.053,69.7,0.414,27.8,0.191,18.1,0.597,56.7,0.265,25.2,0.304,20.1,0.308,20.4,,69.7,35315
24,24,L,,,1.08,0.745,,,82.25,66,0.84,-0.01,33.454,,,3191,122,1.459,0.458,30,0.622,40.8,1.08,70.8,0.441,30.2,0.235,21.8,0.605,56,0.24,22.2,0.308,20.2,0.314,20.6,,70.8,36060
