type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plot 3d, Stance, Average","s",0.000,1,1,"N/cm²",19,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.035,0.062,0.051,0.018,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.004,0.157,0.792,1.268,1.155,0.637,0.144,0.006,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.066,0.883,2.772,4.159,4.121,2.899,1.202,0.180,0.003,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.007,0.309,2.057,5.020,7.555,8.130,6.501,3.610,1.035,0.068,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.009,0.123,0.884,3.120,6.522,10.044,11.866,10.561,6.689,2.593,0.344,0.002,0.000,0.000,0.000,0.000
,0.000,0.000,0.004,0.126,0.685,1.826,3.833,6.937,10.701,13.500,13.156,9.293,4.340,0.900,0.025,0.000,0.000,0.000,0.000
,0.000,0.002,0.095,0.704,1.708,2.830,4.388,6.844,10.212,13.259,13.784,10.739,5.842,1.685,0.107,0.000,0.000,0.000,0.000
,0.000,0.023,0.490,1.770,2.927,3.862,5.125,6.935,9.510,12.243,13.246,11.144,6.799,2.469,0.243,0.000,0.000,0.000,0.000
,0.000,0.080,1.112,2.832,3.916,4.833,6.196,7.689,9.447,11.285,12.198,10.854,7.262,3.091,0.418,0.002,0.000,0.000,0.000
,0.003,0.205,1.667,3.414,4.449,5.568,7.207,8.631,9.734,10.621,11.183,10.225,7.280,3.462,0.578,0.005,0.000,0.000,0.000
,0.022,0.556,2.415,4.036,5.099,6.374,8.054,9.458,10.140,10.498,10.556,9.784,7.237,3.659,0.755,0.014,0.000,0.000,0.000
,0.060,1.093,3.420,5.207,6.477,7.757,9.235,10.503,10.855,10.952,10.522,9.731,7.306,3.868,0.922,0.027,0.000,0.000,0.000
,0.105,1.593,4.245,6.290,7.670,8.764,10.012,10.873,11.136,10.992,10.465,9.438,7.182,4.028,0.989,0.030,0.000,0.000,0.000
,0.146,1.928,4.746,6.947,8.285,9.142,10.299,10.708,11.002,10.714,10.229,9.042,6.817,3.922,0.953,0.030,0.000,0.000,0.000
,0.168,2.096,5.004,7.270,8.593,9.144,9.871,10.020,10.087,9.780,9.251,8.214,6.225,3.458,0.819,0.027,0.000,0.000,0.000
,0.144,2.015,4.988,7.217,8.506,8.702,8.658,8.710,8.554,8.145,7.736,6.892,5.363,2.855,0.612,0.018,0.000,0.000,0.000
,0.079,1.589,4.504,6.574,7.674,7.600,7.092,6.924,6.642,6.063,5.680,5.033,3.967,2.130,0.426,0.010,0.000,0.000,0.000
,0.027,0.944,3.482,5.449,6.329,6.269,5.775,5.404,4.875,4.279,3.855,3.488,2.862,1.579,0.293,0.004,0.000,0.000,0.000
,0.004,0.375,2.280,4.633,5.944,6.138,5.774,5.118,4.349,3.672,3.182,2.871,2.368,1.229,0.198,0.002,0.000,0.000,0.000
,0.000,0.085,1.302,4.043,6.075,6.629,6.344,5.356,4.357,3.584,3.071,2.725,2.129,0.944,0.111,0.000,0.000,0.000,0.000
,0.000,0.016,0.640,3.105,5.760,6.919,6.903,5.958,4.601,3.622,3.087,2.767,2.025,0.699,0.045,0.000,0.000,0.000,0.000
,0.000,0.003,0.185,1.849,4.846,6.901,7.363,6.764,5.318,3.964,3.215,2.849,2.021,0.621,0.031,0.000,0.000,0.000,0.000
,0.000,0.000,0.021,0.779,3.451,6.397,7.772,7.631,6.434,4.636,3.553,3.203,2.581,1.127,0.118,0.000,0.000,0.000,0.000
,0.000,0.000,0.001,0.221,2.083,5.581,8.198,8.619,7.654,5.513,4.355,4.444,4.304,2.518,0.537,0.013,0.000,0.000,0.000
,0.000,0.000,0.000,0.041,1.124,4.677,8.467,9.624,8.904,6.456,5.261,6.174,6.634,4.659,1.599,0.138,0.004,0.000,0.000
,0.000,0.000,0.000,0.007,0.615,3.959,8.576,10.573,10.213,7.348,5.713,7.318,8.626,6.945,3.280,0.587,0.018,0.000,0.000
,0.000,0.000,0.000,0.002,0.394,3.614,8.741,11.374,11.486,8.162,5.642,7.528,9.781,8.822,5.187,1.548,0.093,0.000,0.000
,0.000,0.000,0.000,0.001,0.301,3.454,8.828,11.894,12.577,8.968,5.260,6.981,10.117,10.111,6.998,2.922,0.367,0.003,0.000
,0.000,0.000,0.000,0.000,0.228,3.208,8.639,12.084,13.307,9.657,4.885,5.862,9.744,10.767,8.410,4.374,0.926,0.025,0.000
,0.000,0.000,0.000,0.000,0.152,2.736,8.033,11.922,13.679,10.235,4.781,4.707,8.853,10.901,9.277,5.611,1.674,0.078,0.000
,0.000,0.000,0.000,0.000,0.082,1.980,6.821,11.107,13.582,10.995,5.399,4.061,7.729,10.752,9.928,6.696,2.506,0.178,0.000
,0.000,0.000,0.000,0.000,0.028,1.065,4.878,9.194,12.672,12.016,7.271,4.680,7.190,10.734,10.578,7.503,3.084,0.261,0.000
,0.000,0.000,0.000,0.000,0.004,0.337,2.620,6.390,10.601,12.539,10.068,7.125,8.111,11.170,11.022,7.742,3.164,0.268,0.000
,0.000,0.000,0.000,0.000,0.000,0.053,0.834,3.458,7.621,11.429,11.743,10.031,9.760,11.269,10.598,7.111,2.695,0.203,0.000
,0.000,0.000,0.000,0.000,0.000,0.002,0.111,1.381,4.847,8.738,10.855,10.835,10.280,10.102,8.734,5.346,1.652,0.092,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.573,3.371,7.032,9.306,9.936,9.457,8.399,6.198,3.005,0.583,0.019,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.230,2.138,5.437,7.710,8.375,7.859,6.333,3.738,1.142,0.091,0.001,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.725,2.710,4.598,5.306,4.824,3.347,1.418,0.218,0.005,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.075,0.591,1.355,1.692,1.455,0.803,0.198,0.010,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.017,0.059,0.081,0.064,0.022,0.003,0.000,0.000,0.000,0.000

