type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plot 3d, Stance, Average","s",0.000,1,1,"N/cm²",17,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.002,0.037,0.123,0.166,0.143,0.052,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.004,0.117,0.708,1.543,1.900,1.598,0.728,0.114,0.006,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.001,0.119,1.060,2.922,4.539,4.976,4.047,2.266,0.718,0.094,0.003,0.000,0.000,0.000,0.000,0.000
,0.000,0.025,0.722,3.286,6.440,8.449,8.228,6.257,3.871,1.910,0.558,0.059,0.000,0.000,0.000,0.000,0.000
,0.001,0.180,2.088,6.261,10.507,12.188,10.575,7.689,5.172,3.269,1.545,0.329,0.017,0.000,0.000,0.000,0.000
,0.004,0.450,3.495,8.813,13.463,14.309,11.639,8.475,6.122,4.452,2.712,1.002,0.137,0.004,0.000,0.000,0.000
,0.010,0.733,4.387,9.876,14.132,14.419,11.577,8.671,6.784,5.334,3.815,2.069,0.534,0.031,0.000,0.000,0.000
,0.018,0.968,4.762,9.840,13.283,13.246,10.878,8.686,7.425,6.101,4.694,3.130,1.270,0.161,0.003,0.000,0.000
,0.025,1.097,4.801,9.188,11.707,11.585,10.228,9.049,8.185,6.765,5.304,3.997,2.390,0.726,0.052,0.000,0.000
,0.028,1.101,4.555,8.210,10.121,10.132,9.747,9.465,8.833,7.533,6.341,5.454,4.115,1.965,0.296,0.004,0.000
,0.031,1.087,4.248,7.571,9.295,9.883,10.047,10.320,9.862,8.895,8.221,7.643,6.076,3.479,0.824,0.031,0.000
,0.036,1.116,4.210,7.591,9.401,10.331,10.722,11.149,10.874,10.069,9.518,9.150,7.493,4.683,1.471,0.087,0.000
,0.044,1.210,4.234,7.340,9.486,10.410,10.962,11.190,11.259,10.557,9.775,9.666,8.224,5.490,2.117,0.171,0.000
,0.047,1.206,4.061,6.843,9.224,10.107,10.664,10.712,10.908,10.343,9.533,9.700,8.516,5.945,2.497,0.226,0.000
,0.044,1.055,3.594,6.125,8.073,8.981,9.427,9.658,9.630,9.211,9.032,9.439,8.451,6.044,2.632,0.250,0.000
,0.031,0.782,2.917,5.078,6.358,7.241,7.680,8.110,8.066,7.713,7.990,8.474,7.718,5.671,2.416,0.218,0.000
,0.012,0.437,2.040,3.588,4.357,4.915,5.297,5.710,5.933,5.978,6.509,7.052,6.519,4.698,1.784,0.131,0.000
,0.001,0.172,1.277,2.464,2.997,3.253,3.586,4.033,4.639,5.312,6.243,6.734,6.047,3.785,1.049,0.047,0.000
,0.000,0.048,0.720,1.836,2.415,2.619,2.913,3.450,4.260,5.390,6.637,6.986,5.982,3.170,0.551,0.009,0.000
,0.000,0.011,0.325,1.379,2.179,2.455,2.698,3.228,4.147,5.663,7.027,7.177,5.584,2.371,0.238,0.001,0.000
,0.000,0.000,0.105,0.945,2.005,2.426,2.682,3.330,4.631,6.396,7.548,7.297,4.808,1.464,0.075,0.000,0.000
