type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plots, Stance, Maximum","s",0.000,1,1,"N/cm²",17,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.005,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.034,0.263,0.540,0.622,0.642,0.306,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.086,0.619,2.423,3.307,3.658,3.145,2.036,0.723,0.214,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.060,0.818,2.789,5.335,7.156,7.423,6.266,4.387,2.445,0.752,0.048,0.000,0.000,0.000,0.000,0.000
,0.001,0.230,2.332,6.296,10.248,12.633,11.999,9.773,6.955,4.405,2.381,0.520,0.015,0.000,0.000,0.000,0.000
,0.037,1.014,4.583,10.674,16.393,17.849,16.202,12.103,8.668,6.507,4.392,1.794,0.302,0.014,0.000,0.000,0.000
,0.097,1.928,6.736,14.732,21.229,20.804,17.139,12.136,8.911,6.906,4.981,2.921,1.153,0.140,0.000,0.000,0.000
,0.127,2.372,7.736,16.518,22.162,20.812,16.555,11.751,8.611,7.135,6.150,4.211,2.130,0.375,0.009,0.000,0.000
,0.131,2.640,8.164,16.183,20.655,19.397,14.735,10.753,8.950,8.145,7.129,5.890,3.324,1.171,0.116,0.000,0.000
,0.138,2.901,7.723,13.883,17.207,16.358,12.986,10.672,9.690,8.730,7.732,7.044,5.268,2.362,0.361,0.006,0.000
,0.115,2.538,7.018,11.545,13.703,13.187,11.641,10.943,10.405,9.666,9.821,9.670,8.471,4.653,1.258,0.092,0.000
,0.113,2.369,6.188,9.689,11.881,11.930,11.975,12.332,11.930,11.881,13.052,13.118,11.314,7.155,2.442,0.220,0.000
,0.129,2.429,6.204,9.661,11.741,12.206,12.568,12.891,12.906,12.956,15.104,15.469,13.162,8.681,3.392,0.365,0.000
,0.161,2.602,6.151,9.217,11.464,12.219,12.405,12.970,14.007,13.485,16.143,16.976,14.037,9.257,4.028,0.510,0.000
,0.208,2.699,5.918,8.615,11.333,12.054,12.355,12.608,14.289,13.129,16.147,17.231,14.953,9.718,4.543,0.703,0.000
,0.250,2.692,5.576,8.100,9.786,10.614,11.352,12.528,12.801,12.289,15.226,16.378,14.714,9.655,4.797,0.851,0.000
,0.249,2.178,4.495,7.145,8.303,8.803,9.604,11.050,10.796,11.007,12.976,14.257,13.226,8.827,4.640,0.823,0.000
,0.169,1.500,3.519,5.418,6.101,6.702,7.001,7.768,8.047,9.112,11.709,13.348,11.663,7.651,3.518,0.518,0.000
,0.034,0.863,2.597,4.049,4.654,4.944,4.841,5.205,6.391,9.285,12.470,13.783,11.377,7.444,2.608,0.241,0.000
,0.002,0.358,1.832,3.389,3.849,3.793,3.793,4.245,6.422,10.103,13.564,14.516,11.633,7.151,1.918,0.088,0.000
,0.000,0.173,1.112,2.982,4.089,3.823,3.743,4.245,7.231,10.933,14.309,13.965,11.023,5.420,0.869,0.019,0.000
,0.000,0.010,0.498,2.051,3.568,3.827,3.804,4.586,7.906,11.468,14.490,13.240,9.581,3.417,0.331,0.000,0.000
,0.000,0.000,0.254,1.434,3.370,4.119,3.981,5.112,8.240,12.109,14.383,12.546,7.402,1.950,0.117,0.000,0.000
,0.000,0.000,0.237,1.775,4.165,4.766,4.545,5.909,9.195,13.104,14.247,11.215,4.988,0.827,0.014,0.000,0.000
,0.000,0.015,0.625,2.960,6.045,6.730,5.706,6.731,10.380,13.890,13.948,9.352,3.539,0.574,0.000,0.000,0.000
,0.000,0.127,1.404,5.136,9.114,9.242,7.182,7.250,11.203,14.364,13.546,8.440,3.133,0.346,0.000,0.000,0.000
,0.000,0.372,2.892,7.385,11.213,10.687,7.643,7.530,11.969,14.808,13.476,8.327,2.992,0.313,0.000,0.000,0.000
,0.025,0.895,4.779,9.777,12.959,11.737,7.616,7.520,12.630,14.921,13.601,8.690,3.288,0.305,0.000,0.000,0.000
,0.202,2.245,6.751,11.281,13.469,11.724,7.224,7.267,13.009,15.212,13.882,9.102,3.692,0.272,0.000,0.000,0.000
,0.375,3.327,8.196,12.069,13.408,11.059,6.380,6.897,13.240,15.710,14.023,8.919,3.647,0.227,0.000,0.000,0.000
,0.573,4.067,8.987,12.325,13.484,10.248,6.058,6.813,13.516,16.501,13.726,8.552,3.032,0.146,0.000,0.000,0.000
,0.690,4.602,9.207,12.271,13.283,9.771,6.429,7.923,14.695,17.122,13.342,7.287,2.285,0.078,0.000,0.000,0.000
,0.837,5.033,9.593,12.573,13.441,9.393,6.824,10.505,15.812,16.859,11.786,5.693,1.333,0.027,0.000,0.000,0.000
,0.982,5.438,10.150,13.116,13.734,10.608,9.835,14.033,16.886,15.959,10.099,4.245,0.554,0.004,0.000,0.000,0.000
,0.997,5.198,9.937,12.863,13.739,12.264,13.341,16.595,17.234,13.882,9.195,3.758,0.257,0.000,0.000,0.000,0.000
,0.617,3.786,8.322,11.382,12.128,12.547,14.490,15.368,14.215,12.491,9.225,3.228,0.212,0.000,0.000,0.000,0.000
,0.322,2.259,5.644,9.431,10.869,11.770,12.844,12.396,12.832,12.257,8.717,2.842,0.192,0.000,0.000,0.000,0.000
,0.104,0.881,3.080,6.865,9.798,11.491,12.054,11.898,12.551,9.727,6.039,1.672,0.096,0.000,0.000,0.000,0.000
,0.000,0.115,1.241,3.681,6.308,8.575,9.720,9.285,8.183,5.319,2.271,0.301,0.003,0.000,0.000,0.000,0.000
,0.000,0.003,0.166,1.083,2.479,4.184,5.197,4.632,3.488,1.836,0.348,0.009,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.003,0.045,0.223,0.767,0.924,0.811,0.360,0.110,0.010,0.000,0.000,0.000,0.000,0.000,0.000

