type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Heelleft","s",0.000,1,1,"N/cm²",15,29,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.078,0.231,0.114,0.002,0.000,0.000,0.000
,0.000,0.000,0.002,0.011,0.070,0.306,0.374,0.587,0.866,1.252,0.764,0.085,0.000,0.000,0.000
,0.000,0.003,0.146,0.660,1.447,1.634,1.686,2.035,2.387,2.123,1.647,0.912,0.390,0.015,0.000
,0.000,0.191,1.043,2.666,3.748,3.478,3.014,3.251,3.422,3.021,2.604,1.958,1.079,0.027,0.000
,0.016,0.848,2.775,4.770,5.465,4.805,3.893,3.728,3.721,3.433,3.098,2.353,1.066,0.084,0.000
,0.164,1.684,3.756,5.434,5.869,5.249,4.378,3.705,3.625,3.604,3.027,2.430,1.513,0.410,0.000
,0.246,1.908,3.959,4.855,5.182,4.612,3.768,3.477,3.661,3.619,3.430,2.558,1.500,0.300,0.001
,0.133,1.542,3.665,4.668,4.752,4.051,3.230,2.957,3.058,3.085,3.134,2.613,1.506,0.183,0.001
,0.084,1.428,3.609,4.982,5.439,4.782,3.458,2.573,2.082,2.079,2.042,1.936,0.971,0.003,0.000
,0.078,1.417,4.039,5.944,6.493,6.119,4.321,2.841,2.297,1.600,1.371,1.181,0.497,0.021,0.000
,0.041,1.211,4.022,6.556,7.308,7.065,5.267,3.034,2.110,1.899,1.648,1.504,0.888,0.064,0.000
,0.003,0.453,3.085,6.773,8.439,7.727,6.024,3.834,2.825,2.621,2.108,1.412,0.604,0.026,0.000
,0.000,0.123,1.997,5.992,8.749,8.524,7.228,5.309,3.526,3.373,2.601,1.451,0.310,0.001,0.000
,0.000,0.028,1.377,5.209,8.950,9.406,8.307,5.958,4.110,3.792,2.984,1.434,0.220,0.000,0.000
,0.000,0.014,1.148,4.854,8.897,10.198,9.314,6.327,4.665,4.826,4.185,2.033,0.273,0.003,0.000
,0.000,0.016,1.053,4.850,9.609,10.883,9.965,7.138,5.680,6.515,6.165,3.641,0.956,0.048,0.000
,0.000,0.033,1.156,5.548,10.853,12.083,10.960,8.001,6.533,8.495,8.599,5.560,1.815,0.189,0.011
,0.000,0.062,1.604,6.598,12.371,13.700,12.237,8.181,6.553,9.722,10.476,7.431,3.806,1.353,0.124
,0.000,0.111,2.037,7.816,13.673,15.111,13.330,8.256,6.371,10.169,11.513,8.634,4.715,2.235,0.203
,0.000,0.118,2.488,8.660,14.382,15.926,14.336,8.224,6.024,10.471,12.699,9.950,5.329,1.464,0.074
,0.000,0.104,2.856,9.210,13.765,16.126,14.520,7.791,5.320,9.639,13.151,11.219,6.680,2.164,0.188
,0.000,0.187,2.888,8.797,13.216,16.344,14.797,7.333,4.983,9.261,13.200,11.679,7.464,2.799,0.265
,0.000,0.115,2.063,6.830,11.432,15.255,14.938,8.615,5.424,9.276,12.478,11.798,8.296,3.355,0.331
,0.000,0.065,1.063,4.373,8.757,12.985,14.429,11.205,7.777,9.659,12.578,11.746,8.283,3.216,0.313
,0.000,0.004,0.241,1.890,5.274,10.014,12.474,11.833,9.330,10.390,12.291,10.751,6.775,2.342,0.115
,0.000,0.000,0.002,0.318,2.422,5.914,8.593,9.682,9.242,8.964,9.323,8.124,5.082,1.352,0.026
,0.000,0.000,0.000,0.009,0.701,2.298,4.428,5.698,5.783,5.666,6.323,5.405,3.056,0.584,0.000
,0.000,0.000,0.000,0.000,0.039,0.308,1.415,2.182,2.140,2.363,2.860,2.056,1.169,0.215,0.000
,0.000,0.000,0.000,0.000,0.000,0.007,0.159,0.399,0.342,0.332,0.349,0.077,0.013,0.003,0.000

