type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Heelright","s",0.000,1,1,"N/cm²",14,29,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.000,0.000,0.000,0.000,0.000,0.001,0.024,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.003,0.033,0.599,0.336,0.104,0.144,0.056,0.000,0.000,0.000,0.000
,0.000,0.000,0.003,0.380,0.967,1.407,1.426,1.149,1.001,0.564,0.144,0.003,0.000,0.000
,0.000,0.000,0.286,1.072,1.789,2.288,2.292,1.861,1.367,1.451,1.033,0.202,0.007,0.000
,0.000,0.000,0.478,1.541,2.068,2.413,2.451,2.054,1.688,1.994,2.292,1.464,0.438,0.022
,0.000,0.000,0.389,1.417,1.962,2.224,2.311,2.468,2.126,2.557,3.166,2.825,1.571,0.110
,0.000,0.000,0.155,0.721,1.659,2.102,2.104,2.055,2.091,2.679,3.222,3.124,1.974,0.193
,0.000,0.000,0.000,0.097,0.589,1.282,1.310,1.576,1.785,2.740,3.605,3.545,2.049,0.221
,0.000,0.000,0.000,0.000,0.038,0.215,0.386,1.472,2.476,3.613,4.425,4.032,2.104,0.218
,0.000,0.000,0.000,0.005,0.029,0.035,0.174,1.523,3.211,4.852,5.375,4.263,1.804,0.174
,0.000,0.000,0.041,0.492,0.770,0.839,0.989,2.439,4.175,5.716,5.817,4.290,1.512,0.102
,0.000,0.000,0.130,1.154,1.472,1.797,2.320,3.449,5.068,6.305,6.187,4.320,1.136,0.042
,0.000,0.000,0.154,1.100,1.579,1.994,3.175,4.435,6.003,6.921,6.629,3.969,0.761,0.001
,0.000,0.000,0.035,0.826,1.758,2.297,3.292,5.054,7.011,7.841,7.013,3.362,0.463,0.000
,0.000,0.002,0.180,1.599,2.697,2.956,3.788,5.934,8.161,9.194,7.655,3.130,0.289,0.000
,0.000,0.062,0.963,3.493,4.776,4.587,4.981,7.142,9.895,10.563,8.134,3.179,0.337,0.000
,0.000,0.118,1.889,5.603,7.203,6.352,5.261,7.417,10.764,10.882,8.639,3.551,0.466,0.000
,0.005,0.525,3.418,7.613,9.001,7.551,5.076,7.487,11.147,11.096,9.215,4.324,0.753,0.001
,0.033,1.320,5.322,9.480,10.969,8.339,4.820,7.614,11.795,12.163,10.081,5.467,1.140,0.000
,0.261,2.451,7.211,10.954,12.067,8.239,4.546,7.815,13.014,13.451,10.929,6.175,1.350,0.000
,0.761,4.206,8.855,11.888,12.759,7.959,4.371,7.829,13.738,14.445,11.092,6.058,1.173,0.000
,1.188,5.323,9.695,12.213,12.184,7.930,5.665,8.471,14.889,15.670,10.727,5.186,0.874,0.000
,1.178,5.409,9.769,12.848,12.588,8.210,5.718,10.528,16.300,15.445,9.607,3.796,0.410,0.000
,1.156,5.499,9.717,12.503,12.715,9.359,8.875,13.559,15.597,12.204,7.050,2.287,0.082,0.000
,0.821,4.544,8.436,10.797,11.130,10.244,11.180,13.478,12.063,8.817,4.423,1.011,0.033,0.000
,0.359,2.628,5.442,7.777,8.509,8.560,9.478,9.670,8.248,5.190,2.246,0.203,0.002,0.000
,0.049,0.653,2.337,4.103,4.913,5.464,5.892,5.372,3.723,1.678,0.504,0.033,0.000,0.000
,0.000,0.055,0.551,1.513,1.854,2.172,2.050,1.340,0.680,0.113,0.006,0.000,0.000,0.000
,0.000,0.000,0.041,0.259,0.313,0.338,0.255,0.118,0.007,0.000,0.000,0.000,0.000,0.000

