,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
0,External trigger,START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,R,24.273,,0.825,,,,,2681,,,20.606,,,2681,,,,,,,0.825,68.8,,,0.057,6.9,0.49,59.4,0.278,33.7,,,0.283,,,68.8,24273
2,2,L,,,0.958,0.542,,,,65,,,21.148,,,2746,2746,,0.375,27.8,0.583,43.2,0.958,71.1,,,0.135,14.1,0.602,62.8,0.221,23.1,0.283,21,0.3,22.3,,71.1,24815
3,3,R,,,0.967,0.658,,,100,59,1.03,,21.806,,6.472,2805,124,1.2,0.39,27.8,0.577,41.1,0.967,68.9,0.375,31.3,0.162,16.8,0.573,59.3,0.232,23.9,0.3,21.4,0.277,19.7,,68.9,25473
4,4,L,,,0.942,0.69,,,89.02,71,0.96,-0.03,22.496,,,2876,130,1.348,0.437,31.7,0.505,36.6,0.942,68.4,0.39,28.9,0.134,14.2,0.573,60.8,0.235,25,0.277,20.1,0.228,16.5,,68.4,26163
5,5,R,,,0.939,0.714,,,85.47,76,1.05,0.03,23.21,,-1.168,2952,147,1.404,0.436,33.1,0.503,38.2,0.939,71.4,0.437,31.1,0.193,20.6,0.543,57.8,0.203,21.6,0.228,17.3,0.275,20.9,,71.4,26877
6,6,L,,,0.92,0.664,,,87.08,63,1.01,-0.01,23.874,,,3015,139,1.378,0.377,28.5,0.543,41,0.92,69.5,0.436,31.6,0.165,17.9,0.543,59,0.212,23.1,0.275,20.8,0.268,20.3,,69.5,27541
7,7,R,,,0.939,0.652,,,91.19,63,0.96,-0.02,24.526,,-2.065,3077,126,1.316,0.403,30,0.536,39.9,0.939,69.9,0.377,28.6,0.145,15.4,0.572,60.9,0.222,23.7,0.268,19.9,0.268,19.9,,69.9,28193
8,8,L,,,0.903,0.671,,,90.7,71,1.01,0.02,25.197,,,3148,134,1.323,0.405,30.8,0.498,37.9,0.903,68.8,0.403,30.5,0.182,20.2,0.493,54.6,0.228,25.2,0.268,20.4,0.23,17.5,,68.8,28864
9,9,R,,,0.9,0.673,,,89.29,70,1.05,0.01,25.87,,-1.827,3218,141,1.344,0.41,31.6,0.49,37.8,0.9,69.4,0.405,30.1,0.147,16.3,0.513,57,0.24,26.7,0.23,17.7,0.26,20,,69.4,29537
10,10,L,,,0.926,0.64,,,91.39,69,1.06,0,26.51,,,3286,139,1.313,0.397,30.4,0.529,40.5,0.926,70.8,0.41,31.2,0.159,17.2,0.557,60.2,0.21,22.6,0.26,19.9,0.269,20.6,,70.8,30177
11,11,R,,,0.924,0.657,,,92.52,63,1.02,-0.02,27.167,,1.512,3349,132,1.297,0.381,28.6,0.543,40.8,0.924,69.4,0.397,30.6,0.159,17.2,0.491,53.1,0.274,29.7,0.269,20.2,0.274,20.6,,69.4,30834
12,12,L,,,0.918,0.65,,,91.81,69,1.01,0,27.817,,,3418,132,1.307,0.408,30.6,0.51,38.3,0.918,68.9,0.381,29.2,0.174,19,0.512,55.8,0.232,25.2,0.274,20.6,0.236,17.7,,68.9,31484
13,13,R,,,0.918,0.682,,,90.09,69,1.04,0.01,28.499,,-0.327,3487,138,1.332,0.415,31.9,0.503,38.7,0.918,70.6,0.408,30.6,0.166,18.1,0.551,60,0.201,21.9,0.236,18.2,0.267,20.5,,70.6,32166
