type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plots, Stance, Maximum","s",0.000,1,1,"N/cm²",18,40,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.031,0.065,0.085,0.043,0.017,0.003,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.030,0.501,1.154,1.659,2.178,2.189,1.112,0.198,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.166,1.433,3.319,5.021,5.714,5.512,3.440,1.102,0.083,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.051,0.738,2.519,5.373,8.310,9.656,9.402,6.772,3.413,0.843,0.036,0.000,0.000,0.000
,0.000,0.000,0.000,0.041,0.675,1.985,3.614,7.602,13.032,16.977,15.384,11.195,6.573,2.143,0.206,0.000,0.000,0.000
,0.000,0.000,0.036,0.540,2.177,3.523,5.308,9.788,16.257,22.130,22.114,15.884,9.496,3.929,0.703,0.005,0.000,0.000
,0.000,0.008,0.397,2.194,4.062,4.837,6.069,9.712,15.281,20.668,22.514,18.496,11.419,5.444,1.338,0.038,0.000,0.000
,0.000,0.136,1.458,4.149,5.604,6.074,6.504,8.777,12.624,17.184,19.795,17.930,12.511,6.433,1.890,0.084,0.000,0.000
,0.000,0.392,2.554,5.738,7.535,7.425,8.052,9.062,11.261,14.798,16.560,15.758,12.447,6.954,2.287,0.153,0.000,0.000
,0.018,0.776,3.608,6.991,8.697,8.467,9.330,10.581,11.872,13.702,15.263,14.715,11.885,7.180,2.697,0.166,0.000,0.000
,0.107,1.787,5.070,8.021,9.159,9.279,10.183,12.240,12.823,13.673,14.611,14.005,11.712,7.273,2.847,0.179,0.000,0.000
,0.219,2.575,7.004,10.173,11.831,12.033,12.322,13.775,14.094,14.400,14.435,14.004,11.781,7.113,2.955,0.258,0.000,0.000
,0.297,3.259,8.704,12.205,13.689,13.485,13.924,14.449,13.914,14.790,14.626,14.067,10.771,6.888,3.006,0.295,0.000,0.000
,0.414,3.895,9.800,13.382,14.881,14.067,14.235,14.408,13.701,13.750,13.915,12.702,10.061,6.698,2.923,0.290,0.000,0.000
,0.444,4.188,10.227,14.056,15.176,14.357,14.228,14.279,13.382,12.974,13.231,11.867,9.308,6.132,2.478,0.247,0.000,0.000
,0.418,4.228,10.092,13.987,15.317,14.598,13.210,12.758,11.647,11.109,10.883,10.407,8.543,5.388,2.034,0.201,0.000,0.000
,0.356,3.767,9.344,12.692,14.165,13.350,11.362,9.968,9.774,8.844,8.971,8.951,7.583,4.400,1.671,0.200,0.000,0.000
,0.306,2.798,7.544,10.844,11.986,11.156,9.311,7.647,6.860,6.398,6.722,6.755,5.879,3.639,1.475,0.189,0.000,0.000
,0.099,1.449,5.171,9.189,11.553,10.716,8.880,7.199,5.532,4.801,4.842,5.100,4.627,2.977,0.919,0.046,0.000,0.000
,0.015,0.819,3.525,8.117,12.360,12.063,9.768,7.488,5.381,4.577,4.294,4.651,4.483,2.989,0.800,0.017,0.000,0.000
,0.001,0.471,2.600,6.192,11.270,12.633,10.867,8.211,5.741,4.933,4.546,4.724,4.469,2.737,0.638,0.001,0.000,0.000
,0.000,0.087,1.136,4.183,9.069,12.080,11.671,9.340,6.773,5.515,4.853,4.856,4.096,2.017,0.239,0.000,0.000,0.000
,0.000,0.001,0.399,2.574,6.725,10.993,11.691,9.542,7.556,5.990,5.533,5.708,4.545,2.427,0.549,0.007,0.000,0.000
,0.000,0.000,0.090,1.290,4.669,9.146,10.907,9.985,8.460,6.579,6.986,7.784,6.790,4.070,1.109,0.016,0.000,0.000
,0.000,0.000,0.002,0.595,3.645,7.593,10.765,11.546,10.290,7.617,7.888,9.717,9.234,6.218,1.988,0.173,0.000,0.000
,0.000,0.000,0.000,0.297,2.770,6.730,11.428,12.816,11.997,8.595,8.735,11.995,11.898,8.548,3.625,0.623,0.002,0.000
,0.000,0.000,0.000,0.183,2.060,6.004,11.101,12.797,12.459,8.622,8.607,13.078,13.696,10.977,5.469,1.336,0.047,0.000
,0.000,0.000,0.000,0.070,1.588,5.929,10.712,13.142,12.970,8.642,7.547,12.818,14.707,13.229,8.059,2.708,0.296,0.000
,0.000,0.000,0.000,0.038,1.432,5.902,10.772,13.939,13.755,8.698,6.333,11.975,15.065,14.251,9.874,4.318,0.842,0.000
,0.000,0.000,0.000,0.005,1.157,5.784,10.939,14.498,14.313,8.680,5.360,10.377,14.842,14.842,11.331,5.592,1.259,0.021
,0.000,0.000,0.000,0.001,0.839,5.056,10.452,14.371,14.375,9.004,4.881,8.764,13.936,14.431,12.002,6.893,1.834,0.079
,0.000,0.000,0.000,0.000,0.386,3.084,8.475,13.233,14.546,10.577,5.903,8.105,13.190,14.025,12.225,7.265,2.020,0.095
,0.000,0.000,0.000,0.000,0.101,1.600,5.684,11.534,14.927,12.835,8.920,9.553,13.732,14.144,11.914,7.172,2.013,0.045
,0.000,0.000,0.000,0.000,0.022,0.653,3.660,9.317,14.000,14.086,11.891,11.316,13.642,13.727,11.123,6.444,1.878,0.030
,0.000,0.000,0.000,0.000,0.000,0.149,1.897,6.413,11.179,13.783,12.975,12.566,12.797,12.359,9.866,5.250,1.292,0.023
,0.000,0.000,0.000,0.000,0.000,0.015,1.164,4.613,8.845,11.293,12.767,12.992,12.456,10.762,7.803,3.541,0.691,0.004
,0.000,0.000,0.000,0.000,0.000,0.002,0.501,3.003,7.466,10.387,12.294,12.602,11.902,9.982,5.966,1.802,0.148,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.080,1.435,4.769,8.905,11.120,10.888,9.537,7.522,3.400,0.548,0.013,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.277,1.923,5.038,6.805,6.692,5.749,3.277,1.050,0.035,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.279,1.018,1.541,1.567,1.209,0.534,0.121,0.002,0.000,0.000

