type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Pressure plots, Stance, Maximum","s",0.000,1,1,"N/cm²",17,41,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.002,0.209,0.605,0.700,0.591,0.235,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.127,0.859,1.859,2.442,2.409,1.556,0.840,0.171,0.011,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.119,1.089,3.314,4.609,5.442,5.172,4.036,2.719,1.174,0.272,0.008,0.000,0.000,0.000,0.000,0.000
,0.039,0.802,3.477,7.291,9.671,9.889,8.075,6.149,4.517,2.991,1.289,0.189,0.000,0.000,0.000,0.000,0.000
,0.267,2.457,6.930,12.070,17.481,16.761,12.023,7.720,5.929,4.691,2.850,0.818,0.070,0.000,0.000,0.000,0.000
,0.504,4.258,10.293,17.809,24.069,20.714,14.569,9.480,6.924,5.961,4.031,1.857,0.380,0.009,0.000,0.000,0.000
,0.617,4.997,11.644,20.875,24.460,20.241,14.648,10.336,7.901,6.539,5.111,3.371,1.109,0.108,0.002,0.000,0.000
,0.702,5.395,11.943,19.258,21.226,19.575,14.381,11.033,9.754,8.063,6.727,5.191,2.584,0.768,0.051,0.000,0.000
,0.659,4.977,10.937,16.107,18.824,18.022,13.410,11.251,10.890,9.088,8.343,7.127,4.372,1.913,0.363,0.007,0.000
,0.564,4.608,9.789,13.856,16.254,15.258,12.355,10.914,10.136,10.978,13.271,12.087,7.264,3.853,0.927,0.027,0.000
,0.565,4.097,8.457,11.730,13.701,12.940,11.839,12.190,11.869,14.290,17.194,16.240,10.618,5.771,1.775,0.208,0.000
,0.432,3.567,7.374,10.622,12.317,13.143,12.837,13.123,13.059,14.912,18.214,18.127,13.231,7.130,2.786,0.571,0.000
,0.277,3.347,7.083,10.314,12.394,12.830,13.069,13.754,14.115,14.733,18.458,19.080,14.664,8.535,3.437,0.676,0.000
,0.220,3.179,6.654,9.587,12.000,12.535,13.017,13.982,14.429,14.593,18.508,20.099,16.244,9.437,4.124,0.763,0.000
,0.189,3.015,6.115,8.553,11.178,11.745,12.179,12.902,13.267,13.887,17.263,18.799,16.057,9.700,4.677,1.018,0.022
,0.164,2.359,5.137,7.442,9.193,9.965,10.184,10.839,11.159,11.737,14.275,16.286,14.481,9.494,4.414,1.100,0.046
,0.149,1.906,4.007,6.148,7.364,7.991,8.207,8.728,8.902,9.531,12.315,15.174,12.895,8.392,3.699,0.963,0.043
,0.052,0.977,2.895,4.597,5.241,5.733,6.240,6.719,7.003,9.470,13.090,15.400,12.463,7.190,2.970,0.583,0.013
,0.008,0.567,2.053,3.434,4.069,4.653,5.186,5.830,6.539,10.000,13.787,14.652,12.549,6.757,2.497,0.427,0.000
,0.000,0.213,1.459,3.021,3.710,3.933,4.093,4.339,5.892,9.716,13.579,14.054,12.066,5.532,1.610,0.155,0.000
,0.000,0.030,0.781,2.158,3.669,4.281,4.577,4.909,6.181,9.215,12.807,13.574,10.047,4.064,0.928,0.023,0.000
,0.000,0.001,0.297,1.535,3.421,4.599,5.008,6.104,7.988,9.900,12.080,13.115,8.100,2.956,0.414,0.001,0.000
,0.000,0.000,0.082,1.401,3.746,5.295,5.789,7.046,9.452,11.012,12.401,12.120,6.563,2.095,0.137,0.000,0.000
,0.000,0.000,0.117,1.748,5.108,6.881,6.914,7.033,9.291,11.961,13.259,11.010,5.614,1.344,0.057,0.000,0.000
,0.000,0.010,0.516,3.349,7.483,9.594,8.950,7.705,9.866,13.166,14.200,11.264,5.814,1.287,0.054,0.000,0.000
,0.000,0.101,1.376,4.847,10.105,12.387,10.239,7.820,10.262,14.279,15.105,12.368,6.599,1.498,0.022,0.000,0.000
,0.000,0.243,2.353,7.100,12.346,13.962,11.170,7.796,10.114,14.929,15.903,13.088,7.615,1.924,0.055,0.000,0.000
,0.000,0.553,3.741,8.947,13.815,14.953,12.204,7.421,9.539,15.280,16.495,13.436,7.986,1.958,0.054,0.000,0.000
,0.000,0.943,5.220,10.677,15.266,15.471,12.318,6.915,8.961,15.329,16.702,13.528,8.041,1.879,0.042,0.000,0.000
,0.000,1.008,5.372,11.133,15.743,15.373,11.455,6.005,8.558,15.381,16.973,13.187,7.612,1.698,0.021,0.000,0.000
,0.000,0.905,5.202,10.397,14.628,14.635,10.239,5.523,8.600,15.380,16.617,11.874,6.304,1.312,0.008,0.000,0.000
,0.000,1.026,5.300,10.280,14.003,14.189,9.600,6.305,10.167,15.927,15.775,10.587,5.154,0.950,0.005,0.000,0.000
,0.001,1.013,4.961,9.864,13.384,13.816,10.715,8.579,13.202,16.927,15.081,9.945,4.171,0.577,0.001,0.000,0.000
,0.001,0.945,4.817,9.902,13.600,13.321,11.410,11.678,15.638,16.993,13.649,8.419,2.926,0.284,0.000,0.000,0.000
,0.000,0.875,4.768,10.082,13.801,13.289,11.783,13.150,15.101,15.163,11.881,6.420,1.599,0.054,0.000,0.000,0.000
,0.000,0.429,3.268,8.356,12.587,13.557,12.996,13.610,13.561,12.835,10.612,5.232,1.004,0.015,0.000,0.000,0.000
,0.000,0.138,1.701,5.964,11.098,14.259,14.716,13.774,12.475,12.162,9.023,3.584,0.420,0.000,0.000,0.000,0.000
,0.000,0.005,0.514,2.938,7.480,11.722,13.218,12.004,11.931,10.791,6.476,1.812,0.121,0.000,0.000,0.000,0.000
,0.000,0.000,0.057,0.490,2.702,6.423,8.871,9.214,8.677,6.454,2.736,0.465,0.022,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.009,0.757,2.893,4.544,5.104,4.402,2.486,0.544,0.028,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.167,0.670,1.062,1.190,1.020,0.371,0.030,0.000,0.000,0.000,0.000,0.000,0.000

