type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Forefootleft","s",0.000,1,1,"N/cm²",17,22,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.010,0.031,0.072,0.111,0.003,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.265,0.829,0.980,1.175,1.125,0.341,0.033,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.204,1.066,2.489,3.594,3.987,3.491,1.872,0.488,0.027,0.000
,0.000,0.000,0.000,0.000,0.008,0.081,0.392,1.179,3.109,5.393,7.315,8.097,7.212,4.475,1.527,0.112,0.000
,0.000,0.000,0.000,0.044,0.341,1.060,1.699,2.746,5.597,9.510,13.233,13.395,10.915,6.900,2.843,0.337,0.001
,0.000,0.000,0.039,0.564,1.903,3.347,3.623,4.511,7.203,11.613,16.828,18.433,14.189,9.170,4.054,0.786,0.005
,0.000,0.005,0.365,1.847,3.906,5.404,5.498,6.043,7.769,11.695,16.407,18.214,15.299,10.236,4.863,1.153,0.016
,0.000,0.165,1.172,3.435,5.939,6.818,6.897,7.955,9.137,11.414,14.461,15.544,13.948,9.928,4.997,1.222,0.026
,0.001,0.617,2.805,6.033,8.261,8.566,8.494,9.638,10.723,11.905,13.189,14.145,12.858,9.558,4.975,1.247,0.011
,0.015,1.204,5.030,8.988,11.144,11.596,11.247,11.907,12.633,12.850,13.484,13.418,12.090,8.541,4.341,0.906,0.002
,0.066,2.072,7.316,11.541,13.314,13.541,13.337,13.864,13.833,13.936,14.488,13.614,12.563,8.499,4.278,0.775,0.000
,0.192,3.107,8.755,12.953,14.814,13.849,14.000,14.426,13.756,14.403,14.540,13.818,11.643,7.751,3.723,0.529,0.000
,0.358,4.177,10.254,14.079,15.001,13.637,13.839,14.083,13.108,13.162,13.613,12.720,10.416,6.974,2.989,0.382,0.000
,0.519,4.320,10.129,13.655,14.106,12.918,12.240,11.435,11.269,11.292,12.133,11.389,9.131,5.910,2.165,0.196,0.000
,0.547,3.899,8.982,11.774,12.425,11.182,9.650,8.945,9.122,9.162,9.962,9.708,7.530,4.206,1.217,0.052,0.000
,0.333,2.886,6.975,9.032,9.591,8.458,6.925,5.949,6.151,7.135,7.598,7.798,5.996,2.710,0.411,0.004,0.000
,0.088,1.420,4.528,7.812,8.398,7.375,5.691,4.170,3.391,4.281,4.765,5.134,3.949,1.620,0.146,0.000,0.000
,0.002,0.467,2.877,6.887,7.683,6.882,5.029,3.123,1.939,1.473,2.146,2.618,1.774,0.276,0.014,0.000,0.000
,0.000,0.102,1.753,5.421,6.674,5.843,3.907,1.660,0.644,0.219,0.654,0.833,0.690,0.026,0.000,0.000,0.000
,0.000,0.008,0.632,3.304,4.848,4.274,2.531,0.713,0.044,0.000,0.010,0.034,0.048,0.001,0.000,0.000,0.000
,0.000,0.000,0.071,1.114,2.711,2.129,0.874,0.044,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.166,0.584,0.346,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

