type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Forefootright","s",0.000,1,1,"N/cm²",17,24,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.000,0.000,0.000,0.003,0.289,0.464,0.475,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.037,0.501,0.817,0.817,0.475,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,0.086,0.670,1.735,2.450,2.596,2.115,0.834,0.098,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.037,0.745,3.182,5.423,6.581,6.452,4.985,3.028,1.100,0.418,0.044,0.000,0.000,0.000,0.000,0.000,0.000
,0.284,2.358,6.284,10.091,12.046,11.225,7.857,5.282,3.004,1.551,0.464,0.047,0.000,0.000,0.000,0.000,0.000
,0.554,3.787,8.656,14.150,17.222,15.218,10.415,7.300,5.161,3.371,2.009,0.638,0.052,0.001,0.000,0.000,0.000
,0.610,4.328,9.823,15.432,18.505,16.833,12.007,9.003,7.746,5.851,4.452,2.546,0.753,0.082,0.002,0.000,0.000
,0.626,4.495,9.882,14.657,15.870,14.689,11.569,9.867,9.043,7.929,8.074,6.275,2.760,0.885,0.053,0.000,0.000
,0.571,4.489,9.262,12.256,13.587,12.545,11.009,10.542,9.743,10.761,12.614,10.967,5.816,2.275,0.291,0.000,0.000
,0.529,4.369,8.362,10.737,11.826,11.841,11.045,11.209,11.277,14.702,16.789,15.671,9.618,4.056,0.925,0.040,0.000
,0.435,3.841,7.528,10.471,11.792,12.507,12.171,12.851,12.713,15.252,18.156,17.891,12.451,6.123,2.247,0.167,0.000
,0.257,3.185,6.899,10.397,12.371,12.566,12.874,13.442,13.651,14.320,17.675,18.389,14.142,7.724,3.307,0.342,0.000
,0.188,2.585,6.214,9.227,11.912,12.378,12.558,13.548,13.913,14.198,17.934,19.162,15.629,8.857,4.024,0.601,0.000
,0.114,2.006,5.222,7.781,10.465,11.186,11.006,11.787,12.254,12.949,16.242,17.471,14.794,9.403,4.486,0.883,0.021
,0.045,1.165,3.726,6.107,8.204,8.945,8.877,9.133,9.398,10.147,12.055,13.679,12.372,8.885,4.161,1.066,0.048
,0.005,0.315,2.029,4.293,6.039,6.684,6.465,6.713,6.814,7.259,8.782,12.040,10.944,7.067,3.102,0.501,0.014
,0.000,0.024,0.635,1.911,3.093,3.305,3.475,3.527,3.781,5.270,7.994,10.232,10.162,5.721,1.951,0.248,0.000
,0.000,0.000,0.033,0.257,0.536,0.699,1.079,1.240,2.189,4.854,8.039,9.955,8.917,4.337,1.461,0.104,0.000
,0.000,0.000,0.000,0.000,0.001,0.004,0.087,0.136,0.976,3.676,6.927,8.884,6.783,2.501,0.589,0.020,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.263,2.058,5.191,7.196,4.744,1.032,0.062,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,1.130,3.825,5.635,3.018,0.384,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.499,2.770,3.854,1.380,0.090,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,1.512,2.038,0.456,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.375,0.436,0.099,0.000,0.000,0.000,0.000

