type,name,time_units,begin_time,frequency,count,units,cell_count_x,cell_count_y,cell_size_mm_x,cell_size_mm_y
signal_matrix,"RT Three foot zone analysis, zones graph, Heelright","s",0.000,1,1,"N/cm²",14,26,8.469,8.469

time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.000,0.000,0.000,0.000,0.000,0.020,0.122,0.139,0.067,0.003,0.000,0.000,0.000,0.000,0.000
,0.000,0.000,0.000,0.017,0.278,1.006,1.024,0.570,0.247,0.202,0.016,0.000,0.000,0.000
,0.000,0.000,0.000,0.122,0.927,1.504,1.460,1.027,1.046,1.048,0.295,0.018,0.000,0.000
,0.000,0.000,0.000,0.020,0.243,0.916,0.891,0.548,1.168,1.652,1.289,0.379,0.029,0.000
,0.000,0.000,0.000,0.000,0.011,0.085,0.079,0.301,1.586,2.310,2.218,1.261,0.142,0.000
,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.929,2.238,3.310,2.997,1.845,0.249,0.000
,0.000,0.000,0.001,0.030,0.139,0.133,0.247,1.219,3.130,4.395,4.128,2.388,0.341,0.000
,0.000,0.000,0.017,0.439,1.313,1.203,1.544,2.605,4.198,5.339,4.950,2.507,0.361,0.000
,0.000,0.000,0.050,1.174,2.065,2.155,2.625,3.638,5.197,5.946,5.125,2.513,0.425,0.000
,0.000,0.000,0.051,1.537,2.553,2.699,3.467,4.776,6.247,6.607,5.426,2.954,0.638,0.000
,0.000,0.000,0.064,1.557,2.659,3.073,4.003,6.353,7.784,7.900,6.019,2.853,0.406,0.000
,0.000,0.005,0.541,2.435,3.676,3.820,4.743,7.602,9.593,9.605,6.550,2.680,0.293,0.000
,0.000,0.012,1.143,4.086,5.760,5.244,5.331,8.216,10.645,10.434,7.422,2.977,0.324,0.000
,0.003,0.087,2.188,6.474,8.100,6.851,5.852,8.358,11.532,11.442,8.723,3.709,0.493,0.000
,0.145,0.822,4.053,9.545,11.370,8.416,5.915,8.612,12.555,12.799,10.057,4.628,0.737,0.003
,0.599,3.183,6.712,12.104,13.414,9.348,5.533,8.200,13.540,14.587,11.704,5.632,1.011,0.015
,0.597,3.604,8.262,13.286,13.673,8.910,4.924,7.371,13.886,15.799,12.730,6.633,1.226,0.007
,0.604,3.597,9.282,13.805,13.621,8.732,4.490,7.776,13.845,15.618,12.058,6.193,1.229,0.004
,0.873,4.654,9.677,13.737,13.520,8.486,4.735,8.717,14.831,15.724,10.920,5.433,1.040,0.003
,0.939,4.900,9.872,13.252,13.299,8.817,6.323,11.055,16.160,15.208,9.946,4.451,0.676,0.002
,0.802,4.443,9.096,12.461,12.785,9.723,8.924,13.084,15.693,13.194,8.526,3.132,0.335,0.000
,0.609,3.579,7.741,11.072,11.776,9.673,10.286,12.749,13.396,9.979,5.710,1.556,0.092,0.000
,0.396,2.526,6.025,9.060,9.764,8.584,9.037,10.460,9.758,6.375,2.947,0.575,0.015,0.000
,0.041,0.954,3.335,5.363,6.209,6.351,6.876,6.660,5.047,2.767,0.869,0.102,0.002,0.000
,0.000,0.135,0.730,1.867,2.336,3.048,3.252,2.552,1.274,0.435,0.044,0.000,0.000,0.000
,0.000,0.000,0.032,0.209,0.357,0.581,0.575,0.387,0.068,0.002,0.000,0.000,0.000,0.000

